userId,movieId,tag
1,114,afternoon section
2,114,capitalism
3,114,capitalism
4,114,capitalism
5,114,capitalism
6,114,cheesy
7,114,cheesy
8,114,chick flick
9,114,chick flick
10,114,chick flick
11,114,chick flick
12,114,chick flick
13,114,chick flick
14,114,chick flick
15,114,chick flick
16,114,chick flick
17,114,cinderella
18,114,cinderella
19,114,cinderella
20,114,cinderella
21,114,cinderella
22,114,cinderella
23,114,cinderella
24,114,classic
25,114,classical
26,114,classical
27,114,Classic Romance
28,114,Comedy
29,114,Comedy
30,114,Comedy
31,114,Comedy
32,114,Comedy
33,114,Comedy
34,114,Divx1
35,114,fish out of water
36,114,fish out of water
37,114,foqam
38,114,funny
39,114,Garry Marshall
40,114,girlie movie
41,114,girlie movie
42,114,girlie movie
43,114,girlie movie
44,114,girlie movie
45,114,girlie movie
46,114,girlie movie
47,114,girlie movie
48,114,girlie movie
49,114,girlie movie
50,114,girlie movie
51,114,girlie movie
52,114,girlie movie
53,114,girlie movie
54,114,girlie movie
55,114,Good Romantic Comedies
56,114,Good Romantic Comedies
57,114,Good Romantic Comedies
58,114,Good Romantic Comedies
59,114,Good Romantic Comedies
60,114,Good Romantic Comedies
61,114,happy ending
62,114,happy ending
63,114,Hollywood
64,114,Hollywood
65,114,Hollywood
66,114,Hollywood
67,114,hooker
68,114,hooker with a heart of gold
69,114,hooker with a heart of gold
70,114,Jason Alexander
71,114,Jason Alexander
72,114,john
73,114,julia roberts
74,114,julia roberts
75,114,julia roberts
76,114,julia roberts
77,114,Julia Roberts
78,114,Julia Roberts
79,114,Julia Roberts
80,114,Julia Roberts
81,114,Julia Roberts
82,114,Julia Roberts
83,114,Julia Roberts
84,114,Julia Roberts
85,114,Julia Roberts
86,114,Julia Roberts
87,114,Julia Roberts
88,114,Julia Roberts
89,114,Julia Roberts
90,114,Julia Roberts
91,114,Julia Roberts
92,114,Julia Roberts
93,114,Julia Roberts
94,114,Julia Roberts
95,114,Julia Roberts
96,114,Julia Roberts
97,114,Julia Roberts
98,114,Julia Roberts
99,114,Julia Roberts
100,114,Julia Roberts
101,114,Julia Roberts
102,114,Julia Roberts
103,114,Julia Roberts
104,114,Julia Roberts
105,114,Julia Roberts
106,114,Julia Roberts
107,114,Julia Roberts is stupid ugly and can't act
108,114,Laura San Giacomo
109,114,love story
110,114,misogyny
111,114,overrated
112,114,plot:client falls in love with sex worker
113,114,plot:client falls in love with sex worker
114,114,predictable
115,114,president
116,114,president
117,114,prince charming
118,114,prince charming
119,114,prince charming
120,114,prince charming
121,114,prince charming
122,114,PROSTITUTES
123,114,PROSTITUTES
124,114,prostitution
125,114,prostitution
126,114,prostitution
127,114,prostitution
128,114,prostitution
129,114,prostitution
130,114,prostitution
131,114,prostitution
132,114,prostitution
133,114,prostitution
134,114,prostitution
135,114,prostitution
136,114,prostitution
137,114,Prostitution
138,114,pygmalion
139,114,pygmalion
140,114,pygmalion
141,114,pygmalion
142,114,rags to riches
143,114,rags to riches
144,114,rags to riches
145,114,rags to riches
146,114,Ralph Bellamy
147,114,richard gere
148,114,Richard Gere
149,114,Richard Gere
150,114,Richard Gere
151,114,Richard Gere
152,114,Richard Gere
153,114,Richard Gere
154,114,Richard Gere
155,114,Richard Gere
156,114,Richard Gere
157,114,Richard Gere
158,114,Richard Gere
159,114,Richard Gere
160,114,Richard Gere
161,114,Richard Gere
162,114,Richard Gere
163,114,Richard Gere
164,114,Richard Gere
165,114,romance
166,114,romance
167,114,romance
168,114,romance
169,114,romance
170,114,romance
171,114,romance
172,114,romance
173,114,romance
174,114,romance
175,114,romance
176,114,romance
177,114,romance
178,114,romance
179,114,romance
180,114,romance
181,114,romance
182,114,romance
183,114,romance
184,114,Romance
185,114,Romance
186,114,Romance
187,114,ROMANTIC
188,114,ROMANTIC
189,114,ROMANTIC
190,114,ROMANTIC
191,114,romantic comedy
192,114,seen more than once
193,114,seen more than once
194,114,sexism
195,114,sexism
196,114,sexism
197,114,shopping
198,114,shopping
199,114,shopping
200,114,shopping
201,114,shopping
202,114,shopping
203,114,shopping
204,114,shopping
205,114,shopping
206,114,shopping
207,114,shopping
208,114,shopping
209,114,sport car
210,114,sport car
211,114,story-plot
212,114,unreflective
213,114,unreflective
214,114,unreflective
215,114,Whore
216,114,YOUNG WOMEN'S FAVORATE
1,10020,18th century
2,10020,18th century
3,10020,2D animation
